STNAME,CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,
North Carolina,Alamance County,151437,152712,153299,154209,155439,157104,160358,163326,166516,169173,171346,"173,877",
North Carolina,Alexander County,37232,37029,36926,37016,36993,36960,37120,37105,37272,37417,37441,"36,644",
North Carolina,Alleghany County,11136,11016,10944,10903,10891,10855,10928,11004,11165,11134,11194,"11,049",
North Carolina,Anson County,26853,26515,26315,25966,25976,25616,25173,24856,24487,23538,24097,"22,060",
North Carolina,Ashe County,27226,26983,26921,26837,26761,26625,26595,26795,27122,27215,27166,"26,711",
North Carolina,Avery County,17797,17771,17617,17663,17658,17494,17450,17522,17509,17496,17571,"17,864",
North Carolina,Beaufort County,47826,47685,47442,47394,47349,47403,47407,47097,47127,47096,47073,"44,468",
North Carolina,Bertie County,21244,20855,20490,20325,20317,20167,19414,19246,19072,18962,18712,"17,505",
North Carolina,Bladen County,35178,34877,34805,34621,34365,34090,33657,33446,33169,32864,32911,"29,525",
North Carolina,Brunswick County,108070,110196,112039,114977,118382,122322,126422,130996,137071,142987,149039,"144,215",
North Carolina,Buncombe County,238743,241226,243761,246952,249265,252160,255222,257408,259726,262049,263477,"271,534",
North Carolina,Burke County,90567,90533,89965,89348,89292,89337,89444,90143,90309,90424,90418,"87,611",
North Carolina,Cabarrus County,178564,181187,184358,187265,191737,196483,201737,206987,211483,216340,221479,"231,278",
North Carolina,Caldwell County,83025,82460,82094,82067,81698,81554,81829,81961,82116,82275,82100,"80,463",
North Carolina,Camden County,10011,10026,10006,10119,10280,10284,10385,10517,10613,10770,10984,"10,835",
North Carolina,Carteret County,66700,67432,67792,68417,68670,68766,68875,69014,69547,69513,69558,"68,541",
North Carolina,Caswell County,23745,23453,23044,23096,22808,22813,22749,22623,22691,22590,22443,"22,714",
North Carolina,Catawba County,154758,154501,154739,155024,155157,155607,156517,157822,158521,159363,160307,"161,723",
North Carolina,Chatham County,63845,64120,64551,65276,66708,68307,69680,71248,73171,74419,75748,"77,889",
North Carolina,Cherokee County,27435,27185,27044,27139,27093,27126,27860,28000,28425,28708,29073,"29,167",
North Carolina,Chowan County,14737,14805,14696,14669,14504,14251,14209,14015,14019,13917,13815,"13,722",
North Carolina,Clay County,10609,10684,10660,10606,10578,10644,10785,11033,11149,11277,11505,"11,309",
North Carolina,Cleveland County,97922,97452,97332,96893,97030,96881,97037,97198,97593,97964,99035,"100,359",
North Carolina,Columbus County,57997,57710,57546,57099,56906,56698,56324,56000,55764,55452,54754,"50,092",
North Carolina,Craven County,104180,104866,105381,104369,104168,102988,102784,102740,102663,102031,101233,"100,674",
North Carolina,Cumberland County,327247,330625,330161,333253,332680,331598,333723,331702,334495,336524,336364,"335,508",
North Carolina,Currituck County,23672,23909,24030,24260,24834,25128,25668,26330,27084,27916,29052,"29,653",
North Carolina,Dare County,33981,34161,34389,34823,34914,35499,35905,36257,36710,37071,37547,"37,826",
North Carolina,Davidson County,162841,162934,163064,163337,163437,163548,164497,165489,166726,168238,169234,"170,637",
North Carolina,Davie County,41252,41333,41285,41443,41262,41652,41927,42297,42504,42699,43286,"43,533",
North Carolina,Duplin County,58663,59215,59449,59323,59426,58879,59284,58942,59001,58802,58794,"48,515",
North Carolina,Durham County,271366,276609,282757,288856,295324,301014,308105,312466,317478,322969,327306,"326,126",
North Carolina,Edgecombe County,56595,56038,55667,55419,54860,53734,53281,52793,52015,51429,50829,"48,359",
North Carolina,Forsyth County,351378,354545,357644,360677,364555,367516,371437,375901,379196,382118,383843,"385,523",
North Carolina,Franklin County,60835,60945,61405,62078,62694,63667,64681,66175,67646,69775,71859,"71,703",
North Carolina,Gaston County,206114,206894,207915,209242,210599,212998,216727,219788,222862,224652,226568,"230,856",
North Carolina,Gates County,12165,12043,11888,11700,11632,11530,11570,11502,11524,11536,11464,"10,366",
North Carolina,Graham County,8866,8809,8703,8713,8617,8587,8540,8529,8490,8470,8474,"8,043",
North Carolina,Granville County,57683,57512,57573,57792,58027,58201,58719,59452,60100,60358,60486,"61,986",
North Carolina,Greene County,21257,21518,21198,21017,21016,20952,21087,20965,21041,20915,20928,"20,417",
North Carolina,Guilford County,489626,495022,500618,506537,512414,517281,524520,528622,533244,537872,540521,"542,410",
North Carolina,Halifax County,54476,54122,53739,53193,52840,52190,51814,51329,50696,50074,49479,"48,272",
North Carolina,Harnett County,115757,119201,122250,125093,126769,128145,130822,132584,134649,136172,137058,"135,966",
North Carolina,Haywood County,58930,58731,58666,59006,59192,59724,60493,61167,62170,62510,62972,"62,476",
North Carolina,Henderson County,106894,107391,107811,108942,110338,111943,113711,115431,116557,117347,118445,"116,829",
North Carolina,Hertford County,24773,24732,24619,24603,24615,24404,24211,23917,23882,23642,23108,"21,278",
North Carolina,Hoke County,47498,49473,50499,51190,51633,52805,53086,54207,54661,55166,55830,"53,114",
North Carolina,Hyde County,5812,5798,5689,5653,5599,5425,5434,5230,5006,4932,4843,"4,508",
North Carolina,Iredell County,159788,161077,162729,164661,166598,169592,172600,175673,178358,181866,185770,"191,968",
North Carolina,Jackson County,40376,40256,40661,41034,40960,41352,42645,43220,43540,43736,44033,"43,410",
North Carolina,Johnston County,169676,172457,174387,177240,180732,185130,190937,196541,203031,209786,216246,"226,504",
North Carolina,Jones County,10139,10056,10065,9996,9841,9770,9571,9550,9557,9339,9250,"9,255",
North Carolina,Lee County,57879,58537,59257,59783,59425,59402,59653,60418,61219,61772,62353,"64,138",
North Carolina,Lenoir County,59491,59425,59132,58754,58275,58012,57264,56644,56050,56074,55720,"54,706",
North Carolina,Lincoln County,78127,78301,78743,79140,79479,80646,81235,82608,84334,86627,88097,"89,670",
North Carolina,McDowell County,45102,45056,45005,45027,45017,44982,44876,45089,45481,45784,45782,"44,717",
North Carolina,Macon County,33959,33889,33816,33756,33849,34117,34299,34610,35226,35729,35994,"37,564",
North Carolina,Madison County,20798,20872,20913,21178,21217,21175,21402,21603,21659,21638,21740,"21,502",
North Carolina,Martin County,24505,24186,23851,23643,23441,23267,23121,22773,22696,22451,22178,"21,754",
North Carolina,Mecklenburg County,923292,944015,967418,991182,1010878,1034049,1058056,1079656,1095911,1113283,1128945,"1,122,276",
North Carolina,Mitchell County,15511,15354,15327,15278,15167,15062,15003,14992,14989,14928,14881,"14,963",
North Carolina,Montgomery County,27725,27700,27513,27439,27280,27432,27288,27274,27104,27209,27238,"25,798",
North Carolina,Moore County,88595,89265,90205,91391,92849,94057,95458,97376,98961,101167,103352,"102,763",
North Carolina,Nash County,95819,95778,95225,94463,94253,93855,94060,94095,94161,94258,94859,"95,176",
North Carolina,New Hanover County,203295,206006,209118,213033,216112,219619,224922,228863,232566,234275,236613,"229,018",
North Carolina,Northampton County,22037,21918,21287,20860,20658,20539,20135,19898,19741,19498,19088,"17,129",
North Carolina,Onslow County,186918,185068,190813,192522,192061,193402,192745,195332,197069,202795,203943,"206,160",
North Carolina,Orange County,133985,134853,137870,139471,140432,141449,142849,143624,148029,148192,149077,"148,884",
North Carolina,Pamlico County,13108,13242,13016,12878,12870,12739,12771,12631,12600,12650,12715,"12,344",
North Carolina,Pasquotank County,40632,40290,40411,39587,39479,39433,39418,39420,39693,39970,40372,"40,821",
North Carolina,Pender County,52415,53180,53730,54804,55931,57463,58829,60787,62121,63046,64671,"62,815",
North Carolina,Perquimans County,13480,13499,13590,13638,13541,13474,13425,13464,13427,13578,13667,"13,130",
North Carolina,Person County,39412,39525,39188,39253,39130,39214,39315,39412,39533,39621,39925,"39,127",
North Carolina,Pitt County,168865,170813,173021,174443,175052,176178,177291,178661,179673,181257,182924,"172,169",
North Carolina,Polk County,20474,20289,20251,20390,20372,20417,20418,20567,20673,20723,21030,"19,656",
North Carolina,Randolph County,141985,141861,142274,142313,142467,142560,143070,143000,143176,143495,144557,"145,172",
North Carolina,Richmond County,46636,46654,46364,46134,45770,45427,45034,44786,44881,44764,44332,"42,724",
North Carolina,Robeson County,134469,135168,135458,135135,134920,134446,133344,132606,131890,130440,129999,"116,328",
North Carolina,Rockingham County,93681,93309,92722,91930,91825,91697,91326,90844,90680,91118,91285,"91,266",
North Carolina,Rowan County,138329,137819,137505,137689,138091,138520,139417,140289,140870,141818,142495,"148,150",
North Carolina,Rutherford County,67739,67424,67227,66866,66587,66408,66318,66558,66721,67031,67076,"64,586",
North Carolina,Sampson County,63536,63515,63710,63903,63806,63562,63200,63188,63277,63372,63382,"58,990",
North Carolina,Scotland County,36062,36274,36094,35916,35662,35333,35315,35178,34701,34776,34637,"34,227",
North Carolina,Stanly County,60578,60531,60464,60635,60621,60624,60829,61458,62077,62645,63239,"63,425",
North Carolina,Stokes County,47330,47128,46716,46500,46309,46143,45895,45710,45459,45634,45743,"44,553",
North Carolina,Surry County,73779,73499,73292,72637,72480,71990,72024,72114,71957,71741,71683,"71,152",
North Carolina,Swain County,14006,14005,14054,13976,14238,14325,14189,14268,14259,14312,14179,"14,136",
North Carolina,Transylvania County,33087,32812,32849,32847,32971,33185,33433,33812,34182,34270,34498,"33,165",
North Carolina,Tyrrell County,4415,4336,4122,4102,4119,4137,4017,4172,4113,3813,3774,"3,254",
North Carolina,Union County,202110,204916,208106,212261,217767,222051,226501,231525,236217,240028,244562,"243,648",
North Carolina,Vance County,45293,45293,45104,44507,44533,44477,44558,44387,44735,44670,44718,"42,185",
North Carolina,Wake County,906875,928905,952266,974508,998221,1022871,1048933,1072463,1092202,1112795,1132271,"1,150,204",
North Carolina,Warren County,20974,20986,20750,20584,20364,20190,19874,19829,19815,19692,19522,"18,762",
North Carolina,Washington County,13119,12904,12662,12669,12479,12251,12081,11947,11793,11635,11485,"10,892",
North Carolina,Watauga County,50972,51636,52079,52320,52421,53129,54176,55250,56205,56271,56441,"54,234",
North Carolina,Wayne County,122891,124055,124587,124625,124634,124400,124368,123201,123483,123904,123967,"116,835",
North Carolina,Wilkes County,69265,68949,68910,68610,68418,68302,68573,68461,68481,68296,68043,"65,806",
North Carolina,Wilson County,81294,81153,81393,81186,80996,81228,81298,81446,81396,81775,81979,"78,369",
North Carolina,Yadkin County,38435,38344,38149,38070,37852,37630,37650,37599,37456,37617,37625,"37,192",
North Carolina,Yancey County,17805,17691,17625,17550,17543,17550,17590,17709,17893,18059,18099,"18,757",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
